Product Name,Price,Description
"Infusion fruitée de Noël (cannelle, orange) BIO en vrac","29,30 € ht","Arôme naturel : Cannelle-orange Ingrédients : Pomme*, hibiscus*, raisin (raisin, huile végétale)*, cynorrhodon*, écorces d'orange*, bâtons de cannelle*, arôme naturel (cannelle, orange), clou de girofle*, poivre noir*. *Issu de l‘agriculture..."
"Tisane du Garlaban (romarin, thym, citron) BIO en vrac","31,60 € ht","Saveur : Romarin-thym-citron Ingrédients : Citronnelle*, bâtons de cannelle*, verveine*, romarin*, thym*, feuilles d'olivier*, arôme naturel (citron, pamplemousse), lavande*, fleurs de tilleul*. *Issu de l'agriculture biologique Dosage : 15 -..."
"Infusion fruitée pouvoir des fleurs (orange sanguine, grenade) en vrac","40,55 € ht",Arômes naturels : Orange sanguine - Grenade Energie max Tout est réuni pour maintenir une santé au max. Ce bouquet fleuri joliment mélangé vous offrira un véritable moment de détente...
"Infusion fruitée Charlotte aux fraises (fraise, crème) en vrac","29,30 € ht","Arômes naturels : Fraise-crème Ingrédients : Pomme, hibiscus, cynorrhodon, écorces d'orange, baie de sureau, arôme naturel, fraise (3%). Mélange premium avec des ingrédients issus de l'agriculture durable et des arômes..."
"Tisane soleil du sud (tilleul, verveine, menthe) BIO en vrac","48,40 € ht","Arôme naturel : Non aromatisé Ingrédients : Fleurs de tilleul* (64%), verveine*, menthe* (16%), feuilles de verveine*, menthe poivrée* (5%). *Issu de l‘agriculture biologique Dosage : 12 - 15 g/LTemps..."
"Infusion fruitée Mon Doux mélange (pêche, papaye) en vrac","28,45 € ht","Arômes naturels : Pêche-papaye Ingrédients : Pomme, datte (datte, farine de riz), citronnelle, banane (banane, huile de noix de coco, sucre de canne, miel), raisin (raisin, huile végétale), gingembre, carotte,..."
Tisane alliance magique (digestion) BIO en vrac,"35,80 € ht","Arôme naturel : Non aromatisé Ingrédients : Mélisse* (30%), camomille*, anis*, fenouil* (11%), carvi* (10%), carotte*, racine de réglisse*, menthe poivrée*, verveine entière*, fleurs de souci*, fleurs de houblon*.* Issu..."
Tisane baby boom BIO en vrac,"31,60 € ht","Arôme naturel : Non aromatisé Ingrédients : Rooibos naturel*, rooibos vert*, mélisse*, pétales de rose*, fleurs de bleuet*, lavande*, aronia*. *Issu de l'agriculture biologique Dosage : 15 - 10 g/LTemps..."
"Infusion fruitée sixième sens  (sureau, vanille) BIO en vrac","29,30 € ht","Arômes naturels : Sureau-vanille Ingrédients : Hibiscus*, cynorrhodon*, baie de sureau* (3%), extrait de vanille*, arôme naturel (cassis), fleurs de bleuet*, vanille* (1%). *Issu de l'agriculture biologique Dosage : 15 -..."
Tisane lotus BIO en vrac,"28,45 € ht","Arôme naturel : Non aromatisé Ingrédients : Pomme*, citronnelle*, cynorrhodon*, camomille*, tulsi*, souci*, poivre noir*, menthe poivrée*, lavande*, fleurs d'immortelle*, cardamome*, valériane*. *Issu de l'agriculture biologique Dosage : 20 -..."
"Tisane belle de nuit (pêche, citron) en vrac","38,45 € ht","Saveur : Pêche - citron Ingrédients : Datte (datte, farine de riz), pomme, mélisse, feuilles de framboisier, camomille, carotte, fenouil, écorces de citron, verveine entière, arôme naturel, pomme, achillée, millepertuis,..."
Tisanes ayurvédiques keep cool BIO en vrac,"29,30 € ht","Arôme naturel : Non aromatisé Ingrédients : Pomme*, bâtons de cannelle*, hibiscus*, feuilles de mûre*, gingembre*, mélisse*, racine de réglisse*, fenouil*, écorces d'orange*, camomille*, clou de girofle*, poivre noir*, cardamome*,..."
"Infusion fruitée santé millénaire (Framboise, citron vert) BIO en vrac","33,70 € ht","Saveur : Framboise - citron vert Ingrédients : Pomme*, coco*, citronnelle*, hibiscus*, coing*, framboise*, écorces de citron*, arôme naturel de fraise, baie de goji*, arôme naturel de framboise, arôme naturel..."
"Infusion fruitée plaisir intense (pomme, pistache) en vrac","24,25 € ht","Arôme naturel : Pomme-pistache Ingrédients : Datte (datte, farine de riz), pomme (21%), bâtons de cannelle, coing, arôme naturel, hibiscus, souci. Mélange premium avec des ingrédients issus de l'agriculture durable..."
Tisanes ayurvédiques karma BIO en vrac,"30,55 € ht","Arôme naturel : Non aromatisé Ingrédients : Menthe*, bâtons de cannelle*, hibiscus*, racine de réglisse*, gingembre*, fenouil*, écorces d'orange*, clous de girofle*, camomille*, poivre rose*, cardamome*. *Issu de l'agriculture biologiqueDosage..."
"Tisane Mon Bonbon (Miel, citron) en vrac","24,25 € ht","Arôme naturel : Miel-citron Ingrédients : Pomme, fenouil, anis, baie de sureau, arôme naturel, souci. Mélange premium avec des ingrédients issus de l'agriculture durable et des arômes naturels Dosage :..."
Tisane pour les maux BIO en vrac,"26,35 € ht","Arôme naturel : Non aromatisé Ingrédients : Rooibos naturel*, pomme*, cynorrhodon*, fenouil*, citronnelle*, gingembre*, gingembre (gingembre, sucre de canne brut)*, poivre noir*.* Issu de l‘agriculture biologique L'association du fenouil et..."
"Infusion fruitée au bord de l'eau (orange, p.mousse) BIO en vrac","29,30 € ht","Arômes naturels : Orange-pamplemousse Ingrédients : Pomme*, raisin (raisin, huile végétale)*, papaye*, écorces d'orange*, carotte*, citronnelle*, arôme naturel (pamplemousse, bergamote, orange), fleurs de souci*. *Issu de l‘agriculture biologique Dosage :..."
Infusion fruitée Haut vignoble (pêche) Bio en vrac,"29,30 € ht","Arôme naturel : Pêche Ingrédients : Pomme*, Rooibos naturel*, raisin (raisin, huile végétale)*, carotte*, arôme naturel de pêche, fleurs de souci*, poivre rose*, pêche* (2%), arôme naturel de mangue. *Issu..."
"Infusion de feuilles d'olivier (Citron, gingembre) Bio en vrac","29,30 € ht","Saveur : Citron - gingembre Ingrédients : Feuilles d'olivier*, pomme*, citronnelle*, gingembre* (12%), arôme naturel (citron), mélisse*, écorces de citron* (3%). *Issu de l'agriculture biologique Dosage : 12 - 15..."
Tisane Allaitement BIO en vrac,"28,45 € ht","Arôme naturel : Non aromatisé Ingrédients : Fenouil*, anis*, carvi*, mélisse*. *Issu de l'agriculture biologique. Ces quatre plantes sont très intéressantes pour stimuler l'allaitement. Elles sont réputées pour leur action sur..."
"Infusion fruitée du garlaban (feuilles d'olivier, Verveine, mélisse) Bio en vrac","34,75 € ht","Arôme naturel : Non aromatisé Ingrédients : Pomme*, feuilles d'olivier*, mélisse* (21%), verveine* (11%), feuilles de verveine* (11%). *Issu de l'agriculture biologique Dosage : 12 - 15 g/LTemps d'infusion :..."
Tisane la sauvage BIO en vrac,"30,05 € ht","Arôme naturel : Non aromatisé Ingrédients : Pomme*, feuilles de mûre*, citronnelle*, cynorrhodon*, menthe*, camomille*, écorces d'orange*, carotte*, passiflore*, fleurs de bleuet*, thym*. *Issu de l'agriculture biologique Dosage : 16..."
"Tisane (Menthe, framboise) BIO en vrac","28,25 € ht","Saveur : Menthe - framboise Ingrédients : Citronnelle*, menthe* (21%), rooibos naturel*, pomme*, hibiscus*, écorces de citron*, arôme naturel (framboise), feuilles de framboisier* (3%), framboise* (2%). *Issu de l'agriculture biologiqueDosage..."
Tisane farniente BIO en vrac,"30,55 € ht","Arôme naturel : Non aromatisé Ingrédients : Pomme*, ortie*, bâtons de cannelle*, fenouil*, gingembre*, racine de réglisse*, écorces d'orange*, camomille*, clous de girofle*, pétales de rose*. *Issu de l'agriculture biologique..."
Infusions fruitées Magenta (Fraise-framboise) BIO en vrac,"33,70 € ht","Saveur : Fraise - framboise Ingrédients : Pomme*, hibiscus*, raisin (raisin, huile végétale)*, cynorrhodon*, arôme naturel (Fraise, framboise) , fleurs de bleuet*, ananas*, framboise (2%)*, fraise (2%)*. *Issu de l'agriculture biologique..."
"Infusion fruitée des tropiques (Grenade, mangue) en vrac","31,60 € ht","Arôme naturels : Grenade-mangue Ingrédients : Pomme, hibiscus, citronnelle, Rooibos naturel, raisin (raisin, huile végétale), cynorrhodon, arôme naturel, souci, grenade (2%), mangue (1%), pétales de rose. Mélange premium avec des..."
"Infusion fruitée (Cerise, kiwi, Pastèque,) en vrac","22,70 € ht","Saveur : Cerise - Kiwi - Pastèque Ingrédients : Mangue (mangue, sucre), pomme, melon (melon, sucre), ananas (ananas, sucre), arôme, verveine entière, coing, fleurs de bleuet, figue, tranches de kiwi,..."
Tisane de ma Maman BIO en vrac,"26,15 € ht","Arôme naturel : Non aromatisé Ingrédients : Fenouil*, anis*, carvi*. *Issu de l'agriculture biologique Dosage : 12 - 15 g/LTemps d'infusion : 7 - 10 MinTempérature d'infusion : 70 -..."
"Infusion fruitée douce brise (Orange, vanille, cannelle) BIO en vrac","31,10 € ht","Aromes naturels : Orange-vanille-cannelle Ingrédients : Pomme*, hibiscus*, cynorrhodon*, écorces d'orange* (4%), bâtons de cannelle* (4%), arôme naturel (orange, cannelle), Honeybush*, clou de girofle*, extrait de vanille*, vanille* (1%). *Issu..."
Tisanes de légumes Captain Carrot Bio en vrac,"33,70 € ht","Tisanes de légumes Saveur carotte gingembre curry Ingrédients : Carotte* (65%), gingembre*, curcuma*, curry*, graine de coriandre*, gingembre moulu*. *Issu de l'agriculture biologique Dosage : 20 g/LTemps d'infusion : 10..."
Tisane bonnes énergies  BIO en vrac,"45,05 € ht","Arôme naturel : Non aromatisé Ingrédients : Gingembre*, bâtons de cannelle*, cannelle Ceylan*, poivre noir*, clou de girofle*, poivre rose*, cardamome*, pétales de rose*, gingembre moulu*, cardamome moulue*, cannelle en..."
"Infusion fruitée happy face (fruit de la passion, mangue) BIO en vrac","32,65 € ht","Saveur : Fruit de la passion - mangue Ingrédients : Pomme*, citronnelle*, betterave rouge*, arôme naturel (fruit de la passion, mangue), ananas*, myrte citronnée*, passiflore*, baies de goji*, pêche*, abricot*,..."
Tisanes ayurvédiques Ayurveda Pitta BIO en vrac,"29,30 € ht","Arôme naturel : Non aromatisé Ingrédients : Citronnelle*, menthe*, menthe poivrée*, feuilles de mûre*, racine de réglisse*, cardamome*, pétales de rose*, fleurs de bleuet*. *Issu de l'agriculture biologiqueDosage : 15..."
"Infusion fruitée Entre nous (Gingembre, orange, cannelle) BIO en vrac","29,30 € ht","Arômes naturels : Gingembre-orange-cannelle Ingrédients : Pomme*, hibiscus*, gingembre* (7%), écorces d'orange* (6%), cynorrhodon*, bâtons de cannelle* (5%), arôme naturel (cannelle, orange). *Issu de l‘agriculture biologique Dosage : 15 -..."
"Infusion fruitée Douceur d'antan (framboise, caramel) en vrac","30,55 € ht","Arômes naturels : Framboise-caramel Ingrédients : Pomme, cynorrhodon, arôme naturel, hibiscus, framboise (4%), caramel (sucre, sirop de glucose, crème, beurre, sel de Guérande), pop-corn, mauve. Mélange premium avec des ingrédients..."
