Product Name,Price,Description
Rooibos (Vanille-orange sanguine) BIO en vrac,"39,50 € ht","Arômes naturels : Vanille-orange sanguine Ingrédients : Rooibos vert*, fenouil*, écorces d'orange* (11%), verveine*, verveine entière*, extrait de vanille*, arôme naturel (orange sanguine, bergamote, orange), Huile essentielle de mandarine*, vanille*..."
"Rooibos (pêche, abricot) BIO en vrac","39,50 € ht","Saveur : Pêche-abricot Ingrédients : Rooibos naturel*, Honeybush*, datte (datte, farine de riz)*, arôme naturel (abricot, pêche) abricot*, fleurs de souci*, pêche* (2%), fleurs de bleuet*, vanille bourbon*, racine de..."
"Rooibos Sweet (Abricot, framboise) BIO en vrac","39,50 € ht","Saveur : Abricot doux - framboise Ingrédients : Rooibos naturel*, Honeybush*, abricot* (6%), arôme naturel (abricot, framboise), Stevia*, framboise*, hibiscus*, fleurs de souci*. *Issu de l‘agriculture biologique Dosage : 15..."
"Rooibos romantique (fraise, framboise) BIO en vrac","31,40 € ht","Saveur : Fraise - framboise Ingrédients : Rooibos naturel*, arôme naturel (fraise, framboise), fraise*, framboise*, feuilles de mûre*. *Issu de l'agriculture biologique. Certification : Bio : Produit issu de l’agriculture..."
Rooibos Women secret BIO en vrac,"35,80 € ht","Arômes : Non aromatisé Ingrédients : Rooibos naturel*, ortie*, cynorrhodon*, thé vert china Jasmine*, gingembre*, fenouil*, maté vert*, thé Pu erh de chine*, bâtons de cannelle*, écorces de cacao*, poivre..."
Rooibos Ice (Baies sauvages) BIO en vrac,"36,65 € ht","Saveur :  Baies sauvages Ingrédients : Rooibos naturel*, menthe*, hibiscus*, feuilles de mûre*, écorces d'orange*, arôme naturel (cassis, fraise), verveine*, fraise*, baie de sureau*, cassis*, mûre*, groseille*. *Issu de l'agriculture..."
Rooibos Bigbang (baies sauvages) en vrac,"27,95 € ht","Arômes naturels : Baies sauvages Ingrédients : Rooibos naturel*, Rooibos naturel*, raisin (raisin, huile végétale)*, baie de sureau*, arôme naturel de fraise, fraise*, framboise*, arôme naturel de cassis, groseille*, cassis*...."
"Rooibos amincissant (pêche, citron) en vrac","33,70 € ht",Arôme naturel :  Pêche - Citron. Minceur et Anti-ballonnements Ce rooibos est votre parfait allié pour garder la ligne. La combinaison maté (coupe faim et diurétique) + sencha (pour sa...
"Tulsi sacré (Orange, gingembre) en vrac","33,00 € ht","Arôme naturel : Orange-gingembre Ingrédients : Pomme*, rooibos naturel*, tulsi*, gingembre* (7%), écorces d'orange* (7%), bâtons de cannelle*, arôme naturel, poivre rose*, pétales de rose*, cardamome moulue*. *Issu de l'agriculture..."
Rooibos de l´amour (Orange) BIO en vrac,"41,60 € ht","Saveur Orange Ingrédients : Rooibos naturel*, maté vert*, écorces de cacao*, pétales de rose*, écorces d'orange*, arôme naturel, fraise*, chili écrasé*, bourbon vanille*. *Issu de l'agriculture biologique Dosage : 14..."
"Rooibos petite douceur (datte, mangue)","27,95 € ht","Rooibos Saveur datte-mangue Ingrédients : Rooibos naturel, datte (datte, farine de riz), raisin (raisin, huile végétale), gingembre, arôme naturel, morceaux de mangue, menthe poivrée, papaye, figue (figue, farine de riz),..."
"Rooibos casse noisette (poire, noix) en vrac","33,70 € ht","Arôme naturel : Poire-noix Ingrédients : Rooibos naturel, Honeybush, gingembre (gingembre, sucre de canne brut), noisette (5%), noix (5%), arôme naturel, pomme, fleurs de sureau, racine de maca. Mélange premium élaboré par..."
"Rooibos L'entremets (Caramel, citron) en vrac","32,65 € ht","Arôme naturel : Caramel-citron Ingrédients : Rooibos naturel, fève de cacao concassée, caramel (sucre, sirop de glucose, crème, beurre, sel de Guérande), écorces de citron (6%), arôme naturel. Mélange premium..."
"Rooibos Les 4 saisons (Fraise, raisin) en vrac","34,75 € ht","Arômes naturels : Fraise - Raisin. Antioxydant Un petit miracle estival à déguster sans modération. Le rooibos à la douceur naturelle se combine avec des fraises juteuses, des zestes d'oranges..."
"Rooibos mélange exquis (Pomme grillée, cannelle) en vrac","24,80 € ht","Arôme naturel : Pomme grillée-cannelle Ingrédients : Rooibos naturel, pomme (21%), bâtons de cannelle (6%), fenouil, arôme naturel, clou de girofle, racine de réglisse. Mélange premium avec des ingrédients issus..."
