Product Name,Price,Description
PSYLLIUM BLOND tégument bio,"35,10 € ht",Ingrédients : PSYLLIUM BLOND tégument bio Origine : Inde Désignation latine : Plantago ovata Forssk.Certification : Bio : Produit issu de l’agriculture biologique FR-BIO-01 Certification selon le Règlement européen de l'agriculture...
PRÊLE partie aérienne coupée bio,"49,15 € ht",Ingrédients : PRÊLE partie aérienne coupée bio Origine : Moldavie Désignation latine : Equisetum arvense L.Certification : Bio : Produit issu de l’agriculture biologique FR-BIO-01 Certification selon le Règlement européen de...
PILOSELLE partie aérienne coupée bio,"54,30 € ht",Ingrédients : PILOSELLE partie aérienne coupée bio Origine : Désignation latine : Hieracium pilosella L.Certification : Bio : Produit issu de l’agriculture biologique FR-BIO-01 Certification selon le Règlement européen de...
ORTHOSIPHON feuille bio,"63,55 € ht",Ingrédients : ORTHOSIPHON feuille bio Origine : Viêt-Nam Désignation latine : Orthosiphon aristatus (Blume)Certification : Bio : Produit issu de l’agriculture biologique FR-BIO-01 Certification selon le Règlement européen de l'agriculture...
ORANGER BIGARADIER bouton entier bio,"144,65 € ht",Ingrédients : ORANGER BIGARADIER bouton entier bio Origine : Maroc Désignation latine : Citrus aurantium L.Certification : Bio : Produit issu de l’agriculture biologique FR-BIO-01 Certification selon le Règlement européen...
ORANGE DOUCE zeste poudre bio,"23,05 € ht",Ingrédients : ORANGE DOUCE zeste poudre bio Origine : Espagne Désignation latine : Citrus sinensis (L.) OsbeckCertification : Bio : Produit issu de l’agriculture biologique FR-BIO-01 Certification selon le Règlement...
ORANGE AMÈRE zeste poudre bio,"22,55 € ht",Ingrédients : ORANGE AMÈRE zeste poudre bio Origine : Maroc Désignation latine : Citrus aurantium L.Certification : Bio : Produit issu de l’agriculture biologique FR-BIO-01 Certification selon le Règlement européen...
ORANGE AMÈRE zeste coupé bio,"26,50 € ht",Ingrédients : ORANGE AMÈRE zeste coupé bio Origine : Maroc Désignation latine : Citrus aurantium L.Certification : Bio : Produit issu de l’agriculture biologique FR-BIO-01 Certification selon le Règlement européen de...
NOISETIER feuille coupée bio,"19,50 € ht",Ingrédients : NOISETIER feuille coupée bio Origine : Pologne Désignation latine : Corylus avellana L.Certification : Bio : Produit issu de l’agriculture biologique FR-BIO-01 Certification selon le Règlement européen de...
MYRTILLE fruit bio,"101,10 € ht",Ingrédients : MYRTILLE fruit bio Origine : Bulgarie Désignation latine : Vaccinium myrtillus L.Certification : Bio : Produit issu de l’agriculture biologique FR-BIO-01 Certification selon le Règlement européen de l'agriculture...
MYRTILLE feuille coupée bio,"34,50 € ht",Ingrédients : MYRTILLE feuille coupée bio Origine :  Désignation latine : Vaccinium myrtillus L.Certification : Bio : Produit issu de l’agriculture biologique FR-BIO-01 Certification selon le Règlement européen de l'agriculture...
MYRTE feuille bio,"30,90 € ht",Ingrédients : MYRTE feuille bio Origine : Maroc Désignation latine : Myrtus communis L.Certification : Bio : Produit issu de l’agriculture biologique FR-BIO-01 Certification selon le Règlement européen de l'agriculture...
MÛRIER feuille coupée BIO - Origine FRANCE,"27,15 € ht",Ingrédients : MÛRIER feuille coupée bio Origine : FRANCE Désignation latine : Morus alba L.Certification : Bio : Produit issu de l’agriculture biologique FR-BIO-01 Certification selon le Règlement européen de l'agriculture...
MENTHE POIVREE sommité fleurie poudre BIO - Origine FRANCE,"31,20 € ht",Ingrédients : MENTHE POIVREE sommité fleurie poudre bio Origine : FRANCE Désignation latine : Mentha x piperita L.Certification : Bio : Produit issu de l’agriculture biologique FR-BIO-01 Certification selon le Règlement...
MÉLILOT partie aérienne coupée bio,"23,45 € ht",Ingrédients : MÉLILOT partie aérienne coupée bio Origine : Pologne Désignation latine : Melilotus officinalis (L.) PalCertification : Bio : Produit issu de l’agriculture biologique FR-BIO-01 Certification selon le Règlement...
MELANGE 5 BAIES bio,"41,25 € ht",Ingrédients : MELANGE 5 BAIES bio Origine : UE / non UE Désignation latine : Certification : Bio : Produit issu de l’agriculture biologique FR-BIO-01 Certification selon le Règlement européen...
MÉLANGE 4 BAIES BIO - Origine FRANCE,"39,60 € ht",Ingrédients : MÉLANGE 4 BAIES bio Origine : Mélange international ou FRANCE / Sri Lanka Désignation latine : Certification : Bio : Produit issu de l’agriculture biologique FR-BIO-01 Certification selon...
MARJOLAINE feuille entière bio,"28,90 € ht",Ingrédients : MARJOLAINE feuille entière bio Origine : Egypte Désignation latine : Origanum majorana L.Certification : Bio : Produit issu de l’agriculture biologique FR-BIO-01 Certification selon le Règlement européen de...
MANIGUETTE graine bio,"51,00 € ht",Ingrédients : MANIGUETTE graine bio Origine : Désignation latine : Aframomum melegueta K.Schum.Certification : Bio : Produit issu de l’agriculture biologique FR-BIO-01 Certification selon le Règlement européen de l'agriculture biologique.Agriculture...
LIN DORE graine entière bio,"13,05 € ht",Ingrédients : LIN DORE graine entière bio Origine : Désignation latine : Linum flavum L.Certification : Bio : Produit issu de l’agriculture biologique FR-BIO-01 Certification selon le Règlement européen de...
LIN BRUN graine entière BIO - Origine FRANCE,"12,25 € ht",Ingrédients : LIN BRUN graine entière bio Origine : FRANCE Désignation latine : Linum usitatissimum L.Certification : Bio : Produit issu de l’agriculture biologique FR-BIO-01 Certification selon le Règlement européen de...
LAVANDIN fleur entière BIO - Origine FRANCE,"33,45 € ht",Ingrédients : LAVANDIN fleur entière bio Origine : FRANCE Désignation latine : Lavandula x intermedia EmericCertification : Bio : Produit issu de l’agriculture biologique FR-BIO-01 Certification selon le Règlement européen de...
LAURIER feuille coupée bio,"47,40 € ht",Ingrédients : LAURIER feuille coupée bio Origine : Albanie Désignation latine : Laurus nobilis L.Certification : Bio : Produit issu de l’agriculture biologique FR-BIO-01 Certification selon le Règlement européen de...
JASMIN COMMUN fleur bio,"519,75 € ht",Ingrédients : JASMIN COMMUN fleur bio Origine : Portugal Désignation latine : Jasminum officinale L.Certification : Bio : Produit issu de l’agriculture biologique FR-BIO-01 Certification selon le Règlement européen de...
HOUBLON cône entier bio,"79,95 € ht",Ingrédients : HOUBLON cône entier bio Origine : Pologne Désignation latine : Humulus lupulus L.Certification : Bio : Produit issu de l’agriculture biologique FR-BIO-01 Certification selon le Règlement européen de...
HIBISCUS fleur poudre bio,"27,40 € ht",Ingrédients : HIBISCUS fleur poudre bio Origine : Egypte Désignation latine : Hibiscus sabdariffa L.Certification : Bio : Produit issu de l’agriculture biologique FR-BIO-01 Certification selon le Règlement européen de...
HARPAGOPHYTUM racine poudre bio,"38,30 € ht",Ingrédients : HARPAGOPHYTUM racine Origine : Non UE Désignation latine : Harpagophytum procumbens (BurcCertification : Bio : Produit issu de l’agriculture biologique FR-BIO-01 Certification selon le Règlement européen de l'agriculture...
HARPAGOPHYTUM racine coupée bio,"37,15 € ht",Ingrédients : HARPAGOPHYTUM racine coupée bio Origine : Namibie Désignation latine : Harpagophytum procumbens (BurcCertification : Bio : Produit issu de l’agriculture biologique FR-BIO-01 Certification selon le Règlement européen de...
HAMAMELIS feuille coupée BIO - Origine FRANCE,"36,25 € ht",Ingrédients : HAMAMELIS feuille coupée bio Origine : FRANCE Désignation latine : Hamamelis virginiana L.Certification : Bio : Produit issu de l’agriculture biologique FR-BIO-01 Certification selon le Règlement européen de l'agriculture...
GUIMAUVE racine poudre BIO - Origine FRANCE,"30,90 € ht",Ingrédients : GUIMAUVE racine poudre bio Origine : FRANCE et Pologne Désignation latine : Althaea officinalis L.Certification : Bio : Produit issu de l’agriculture biologique FR-BIO-01 Certification selon le Règlement européen...
GINSENG SIBÉRIEN - ELEUTHEROCOQUE rhizome coupé bio,"38,80 € ht",Ingrédients : GINSENG SIBÉRIEN - ELEUTHEROCOQUE rhizome coupé bio. Origine : Chine Désignation latine : Eleutherococcus senticosus (Ru.Certification : Bio : Produit issu de l’agriculture biologique FR-BIO-01Certification selon le Règlement...
GINKGO Feuille coupée BIO - Origine FRANCE,"70,00 € ht",Ingrédients : GINKGO Feuille bio Origine : FRANCE Désignation latine : Peumus boldus Molina.Certification : Bio : Produit issu de l’agriculture biologique FR-BIO-01Certification selon le Règlement européen de l'agriculture biologique.Agriculture...
GENÉVRIER baie entière bio,"23,45 € ht",Ingrédients : GENÉVRIER baie entière bio. Origine : Albanie Désignation latine : Juniperus communis L.Certification : Bio : Produit issu de l’agriculture biologique FR-BIO-01Certification selon le Règlement européen de l'agriculture...
GATTILIER fruit bio,"24,10 € ht",Ingrédients : GATTILIER fruit bio. Origine : Maroc Désignation latine : Vitex agnus-castus L.Certification : Bio : Produit issu de l’agriculture biologique FR-BIO-01Certification selon le Règlement européen de l'agriculture biologique.Agriculture non...
FUMETERRE partie aérienne coupée bio,"32,55 € ht",Ingrédients : FUMETERRE partie aérienne coupée bio. Origine : Maroc Désignation latine : Fumaria officinalis L.Certification : Bio : Produit issu de l’agriculture biologique FR-BIO-01Certification selon le Règlement européen de l'agriculture...
FRAGON PETIT HOUX rhizome coupé bio,"31,85 € ht",Ingrédients : FRAGON PETIT HOUX rhizome coupé bio. Origine : Albanie Désignation latine : Ruscus aculeatus L.Certification : Bio : Produit issu de l’agriculture biologique FR-BIO-01Certification selon le Règlement européen...
