Product Name,Price,Description
Tisane Ma detox sans théine BIO,"30,00 € ht","Tisane Non aromatisé La feuille de Romarin est traditionnellement utilisée pour aider les fonctions d'élimination de l'organisme. Ingrédients : Romarin BIO feuille coupée*, Rooibos BIO*, Fenouil doux BIO fruit*, Chiendent officinal BIO...."
Thé vert Détox (orange) en vrac,"32,65 € ht","Arôme naturel : Orange Ingrédients :  Thé vert China Sencha, maté vert, écorces d'orange (9%), raisin (raisin, huile végétale), menthe, pomme, sauge, banane (banane, huile de noix de coco, sucre..."
Tisane Mon Allaitement BIO,"61,35 € ht","Tisane Non aromatisé Les fruits d'Anis vert et de Carvi Noir favorisent la production de lait maternel. Ingrédients : Anis vert BIO fruit*, Verveine odorante BIO feuille coupée*ORIGINE FRANCE, Carvi noir..."
"Infusion fruitée duo délicieux (Pomme, caramel) BIO en vrac","29,30 € ht","Saveur : Pomme - caramel Ingrédients : Pomme (49%), raisin (raisin, huile végétale), datte (datte, farine de riz), cynorrhodon, betterave rouge, bâtons de cannelle, arôme naturel, pomme (4%), vanille. Mélange..."
Tisane Mon sommeil BIO,"54,45 € ht","Tisane Non aromatisé La feuille d'Oranger Bigaradier contribue à un sommeil naturel. Ingrédients : Orange douce BIO zeste coupé menu*, Matricaire BIO capitule*, Oranger bigaradier BIO feuille coupée*, Coquelicot BIO pétale coupée. *Issu..."
Maté vert BIO Sac de 20 kg Origine Brésil,"358,00 € ht200,00 € ht","SAC DE 20 Kg Vitamines et antioxydant Boisson stimulante et riche en caféine, le maté régule la fonction intestinale, et stabilise naturellement l'appétit. Véritable allié minceur, ses propriétés diurétiques facilitent..."
Tisane Mon foie léger BIO,"26,55 € ht","Tisane Non aromatisé Les fruits d'Aneth aident à maintenir une fonction hépatique normale. Ingrédients : Aneth BIO fruit*, Romarin BIO feuille coupée*, Curcuma BIO racine coupée*, Tilleul aubier rouge BIO. *Issu de l‘agriculture..."
"Rooibos Les 4 saisons (Fraise, raisin) en vrac","34,75 € ht","Arômes naturels : Fraise - Raisin. Antioxydant Un petit miracle estival à déguster sans modération. Le rooibos à la douceur naturelle se combine avec des fraises juteuses, des zestes d'oranges..."
"Thé vert good mood (Citron, Abricot) bio en vrac","48,40 € ht","Saveur : Citron - Abricot Calme et sérénité Plus d'équilibre, plus de force, plus de beauté ! Pour tous ceux qui souhaitent apporter du bienfait à leur corps. Calme intérieur..."
Tisane Mes articulations BIO,"38,40 € ht","Tisane Non aromatisé La partie aérienne d'Epilobe parviflorum aide à maintenir la mobilité et la souplesse des articulations. Ingrédients : Epilobe parviflorum BIO partie aérienne coupée*, Curcuma BIO racine coupée*, Cassis BIO..."
Tisane Zen BIO,"24,35 € ht","Tisane Non aromatisé La feuille d'Oranger Bigaradier aide à maintenir une relaxation optimale. Ingrédients : Oranger bigaradier BIO feuille coupée*, Menthe poivrée BIO partie aérienne coupée*, Anis vert BIO fruit*, Tilleul officinal BIO..."
Tisane Ma respiration BIO,"43,60 € ht","Tisane Non aromatisé La feuille de Thym facilite la respiration. Ingrédients : Thym « Sud France » BIO feuille entière*, Eucalyptus BIO feuille coupée*, Eucalyptus globulus*, Bouillon blanc BIO sommité coupée*, Guimauve BIO..."
